Date,Hour,code,DispoReal_MW,DispoCome_MW,DispoDeclarada_MW,CapEfecNeta_MW,declared_gt_capacity,real_gt_capacity,commercial_gt_capacity,abs_declared_real_diff_mw,abs_declared_commercial_diff_mw,abs_real_commercial_diff_mw,has_any_availability,resource_without_capacity
2026-06-07,Hour13,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour14,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour15,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour16,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour17,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour18,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour19,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour20,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour21,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour22,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour23,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour24,2QEK,30.567,30.56,35.0,35.0,False,False,False,4.433,4.440000000000001,0.0070000000000014495,True,False
2026-06-01,Hour01,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour02,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour03,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour04,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour05,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour06,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour07,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour08,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour09,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour10,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour11,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour12,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour13,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour14,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour15,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour16,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour17,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour18,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour19,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour20,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour21,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour22,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour23,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour24,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour01,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour02,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour03,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour04,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour05,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour06,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour07,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour08,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour09,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour10,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour11,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour12,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour13,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour14,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour15,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour16,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour17,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour18,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour19,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour20,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour21,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour22,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour23,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour24,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour01,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour02,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour03,3ENA,200.0,149.33963,200.0,200.0,False,False,False,0.0,50.66037,50.66037,True,False
2026-06-03,Hour04,3ENA,200.0,194.58868,200.0,200.0,False,False,False,0.0,5.411319999999989,5.411319999999989,True,False
2026-06-03,Hour05,3ENA,136.1,130.0664,200.0,200.0,False,False,False,63.900000000000006,69.93360000000001,6.033600000000007,True,False
2026-06-03,Hour06,3ENA,167.3,156.90765,200.0,200.0,False,False,False,32.69999999999999,43.09235000000001,10.392350000000022,True,False
2026-06-03,Hour07,3ENA,200.0,193.50944,200.0,200.0,False,False,False,0.0,6.490559999999988,6.490559999999988,True,False
2026-06-03,Hour08,3ENA,200.0,195.40229,200.0,200.0,False,False,False,0.0,4.597710000000006,4.597710000000006,True,False
2026-06-03,Hour09,3ENA,200.0,194.68255,200.0,200.0,False,False,False,0.0,5.317450000000008,5.317450000000008,True,False
2026-06-03,Hour10,3ENA,200.0,194.98475,200.0,200.0,False,False,False,0.0,5.015250000000009,5.015250000000009,True,False
2026-06-03,Hour11,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour12,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour13,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour14,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour15,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour16,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour17,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour18,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour19,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour20,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour21,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour22,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour23,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour24,3ENA,200.0,200.0,200.0,200.0,False,False,False,0.0,0.0,0.0,True,False
